Метро	Адрес	Планировка	Площадь, м2	Этаж	Этажность здания	Цена, руб.	Описание 
Академическая	Москва, ЮЗАО, р-н Гагаринский, м. Академическая, улица Дмитрия Ульянова, 3	3-комн. кв.	105	6	11	31500000	"Продается 3-х комн.квартира в экологически чистом районе г.Москвы. ЮЗАО (Р-он Гагаринский) 6-й эт. 11 эт. кирп. дома.  м.""Академическая"", м.""Университет""  12-15 мин.пешком. Адрес: ул. Дмитрия Ульянова, дом 3. на пересечении с Ленинским пр-том. Цена: 31.500.000 руб. Возможен Торг. Дом: Сталинский 11 эт.кирп. дом. Отличный подъезд, м/м на парковке во дворе. Квартира: Общ. S=105 кв.м. Кухня(15 кв.м.) объединена с гостиной в единое пространство (Студия-45 кв.м),  + 2 Жил.изолиров. комнаты(Спальни) по 20 кв.м. Совмещенный санузел - 12 кв.м. с ванной Джакузи и Биде. Темная комната  Гардероб -3 кв.м.  Утепленн. Пол, Секлопакеты, Кондиционер. Из окон красивый вид на сквер. Инфраструктура: По 10 балльной шкале, принятой в Москве  9 баллов. В шаговой доступности: Дет.сады, школы, ВУЗы, Дворец Детского творчества, Учреждения Культуры, Здравоохранения, Спорта и Службы быта, Магазины, Рестораны и многое др.  Удобные транспортные развязки. 10 мин. на машине до Красной пл. Интеллигентные соседи. В основном профессорско-преподавательские семьи работников МГУ и других ВУЗов и НИИ, расположенных на Ленинском пр-те. Квартира более 5-ти лет в собственности.  3 взрослых собственника. Возможна ипотека. Альтернатива подобрана.  К сделке готова. Сотрудничество с агентами Покупателей - приветствуется. Посреднику, Риэлтору Покупателя  Бонус = 50.000 руб.  Оперативные показы, включая выходные и праздники."
Бульвар Дмитрия Донского	Москва, ЮЗАО, р-н Южное Бутово, м. Бульвар Дмитрия Донского, Старокрымская улица, вл13Б5	2-комн. кв.	53	24	31	7843769	
Балтийская	Москва, САО, р-н Войковский, м. Балтийская, Ленинградское шоссе, 25к1	3-комн. кв.	124	15	20	27000000	
Славянский бульвар	Москва, ЗАО, р-н Очаково-Матвеевское, м. Славянский бульвар, Староволынская улица, 15к1	3-комн. кв.	115	1	6	82000000	
Щукинская	Москва, СЗАО, р-н Щукино, м. Щукинская, Авиационная улица, 77	3-комн. кв.	96	9	34	31900000	"В продажу предлагается стильная 3-х комнатная квартира с абсолютно новым дизайнерским ремонтом. Планировка: зона кухни-гостиной, 2 спальни, 2 санузла. Квартира полностью меблирована и укомплектована мебелью и бытовой техникой. Собственность. ЖК ""Алые Паруса"" построен непосредственно на берегу Москва-реки. Огороженная охраняемая территория. На территории: бассейн с аквапарком, спортивные залы, крытые теннисные корты, футбольное поле, детские площадки, прогулочные зоны, рестораны, супермаркет, причал для яхт и многое другое. Комплекс не имеет аналогов в столице!   Номер лота 61309"
Краснопресненская	Москва, ЦАО, р-н Пресненский, м. Краснопресненская, улица Николаева, 4	4-комн. кв.	95	4	8	32000000	лот 48404 Продается 4-х комнатная квартира в фасадном Сталинском  доме  в 5 минутах от Москва - Сити и Арбата. С видом на Белый Дом и Москва-реку. Квартира площадью  94,8м.   Квартира имеет полноценные 3 спальни.  Площадь комнат : 21-20-12-10 м.  В квартире сделан евроремонт. Подъезд очень чистый и ухоженный.  В собственности более 3-х лет.
Киевская	Москва, ЗАО, р-н Дорогомилово, м. Киевская, Кутузовский проспект, 2/1К1А	2-комн. кв.	57	11	12	33000000	2-х комнатная квартира в жилом корпусе сталинской высотки на Кутузовском пр-те(гостиница Украина). Хорошая планировка. Великолепные арочные окна. Закрытая парковка во дворе. На этаже имеется кладовая. Более 3-х лет в собственности. Свободная продажа.
Проспект Мира	Москва, ЦАО, р-н Мещанский, м. Проспект Мира, проспект Мира, 74С1	3-комн. кв.	108	3	9	33250000	Прекрасная фасадная сталинка, рядом с Московской областной думой. Высота потолков 3,5 м., ж/б перекрытия, великолепное состояние. Круглосуточное видеонаблюдение, шлагбаум и охрана при въезде во двор. Двор благоустроен.
Проспект Вернадского	Москва, ЗАО, р-н Проспект Вернадского, м. Проспект Вернадского, Ленинский проспект, 98К1	3-комн. кв.	147	3	30	33500000	Ключи. Представитель собственника. Предлагается на продажу 3-комнатная квартира с отделкой в жилом комплексе Квартал на Ленинском.  Функциональная планировка: изолированная кухня, большая гостиная, две спальни, 2 санузла, 2 лоджии. Свободная продажа. Квартира в собственности более 3 лет.  Монолитно-кирпичный дом бизнес-класса с подземным трехуровневым паркингом. Огороженная благоустроенная территория. Презентабельная входная группа, профессиональная охрана. Рядом Воронцовский парк, парк 50-летия Октября.
Тимирязевская	Москва, САО, р-н Тимирязевский, м. Тимирязевская, Дмитровское шоссе, 13	3-комн. кв.	120	9	28	33651800	Номер лота: 2071301, ДОМ СДАН!!! РЕАЛЬНОМУ ПОКУПАТЕЛЮ ВОЗМОЖНА СКИДКА ДО 12%!!!   СОБСТВЕННОСТЬ В ЖК ПРЕМИУМ КЛАССА!!!  На данный момент квартиры продаются С КЛЮЧАМИ. Предлагается отличная 3-х комнатная квартира общей площадью 120 кв. м. Квартира свободной планировки с лоджией, 2 сан. узла, без отделки. Высота потолков 3,1 м . Общая жилая площадь 66 кв.м. Очень просторная кухня 14 кв. Остекление зданий выполнено в виде панорамного стекла что дает отличную освещенность квартир и виды из окон. В отделке входных групп использованы только высококачественные материалы. Каждый корпус оснащен минимум 2 лифтами немецкой фирмы ThyssenKrupp. В ЖК есть охраняемый и отапливаемый паркинг на 367 машиномест. Возле дома есть дет. площадки и магазины на первом этаже. Территория дома огорожена и охраняется с круглосуточным видеонаблюдением. На крыше бассейн и зона отдыха! Так же в ЖК есть собственный кинозал и библиотека. Хорошая транспортная доступность позволит по Дмитровскому ш. добраться до МКАД в пределах 20 минут , и до ТТК в пределах 10 минут. В радиусе 1км от ЖК, то есть пешком 5 минут распологаются 2 парка: парк Дубки и Тимирязевский парк что позволит вам и вашей семье прекрасно прогуляться. В пешей доступности от ЖК есть все необходимое для комфортного проживания: магазины, торговые центры, дет. сады, школы и гимназии, аптеки, фитнесс-центры, аптеки, банки, салоны красоты. Покупка так же возможна через ипотеку через ведущие банки страны. Все достоинства тяжело перечислить на бумаге!!! Звоните расскажем подробнее!, Москва, Северный административный округ, Дмитровское шоссе 13, м. Тимирязевская, 3 комн., общ. пл. 120 кв.м., жил.пл. 66 кв.м., комнаты 29/19/18, кухня 13 кв.м., 9/28 этаж, 2 санузла, лоджия
Тимирязевская	Москва, САО, р-н Тимирязевский, м. Тимирязевская, Дмитровское шоссе, 13	3-комн. кв.	121	13	28	34307640	Номер лота: 2071304, ДОМ СДАН, СОБСТВЕННОСТЬ В ЖК ПРЕМИУМ КЛАССА!!!   КЛЮЧИ СРАЗУ ПОСЛЕ СДЕЛКИ!!! НАИЛУЧШЕЕ ПРЕДЛОЖЕНИЕ!!!  КОНЕЧНАЯ СТОИМОСТЬ ОБСУЖДАЕТСЯ ИНДИВИДУАЛЬНО!!!   На данный момент квартиры продаются С КЛЮЧАМИ. Предлагается отличная 3-х комнатная квартира общей площадью 121 кв. м. Квартира свободной планировки с лоджией, 2 сан. узла, без отделки. Высота потолков 3,1м. Остекление зданий выполнено в виде панорамного стекла что дает отличную освещенность квартир и виды из окон. В отделке входных групп использованы только высококачественные материалы. Каждый корпус оснащен минимум 2 лифтами немецкой фирмы ThyssenKrupp. В ЖК есть охраняемый и отапливаемый паркинг на 367 машиномест. Возле дома есть дет. площадки и магазины на первом этаже. Территория дома огорожена и охраняется с круглосуточным видеонаблюдением. На крыше бассейн и зона отдыха! Так же в ЖК есть собственный кинозал и библиотека. Хорошая транспортная доступность позволит по Дмитровскому ш. добраться до МКАД в пределах 20 минут , и до ТТК в пределах 10 минут. В радиусе 1км от ЖК, то есть пешком 5 минут распологаются 2 парка: парк Дубки и Тимирязевский парк что позволит вам и вашей семье прекрасно прогуляться. В пешей доступности от Жилого Комплекса есть все необходимое для комфортного проживания: магазины, торговые центры, дет. сады, школы и гимназии, аптеки, фитнесс-центры, аптеки, банки, салоны красоты. Покупка так же возможна через ипотеку через ведущие банки страны. Все достоинства тяжело перечислить на бумаге!!! Звоните расскажем подробнее!, Москва, Северный административный округ, Дмитровское шоссе 13, м. Тимирязевская, 3 комн., общ. пл. 121 кв.м., жил.пл. 68 кв.м., комнаты 23/21/24, кухня 16 кв.м., 13/28 этаж, 2 санузла, лоджия, без отделки
Международная	Москва, ЦАО, р-н Пресненский, м. Международная, набережная Пресненская, 12	2-комн. кв.	83	74	95	34990000	СУПЕР-ЦЕНА! ОПЕРАТИВНЫЙ ПОКАЗ! ЗВОНИТЕ!  УСПЕЙТЕ КУПИТЬ МЕЧТУ! FOR ENGLISH PLEASE CALL OR WRITE TO WHATSAPP.  Прекрасные апартаменты общей площадью 83 м2. Панорамные окна позволяют наслаждаться потрясающими видами набережной Москва-реки и небоскребов комплекса Москва-Сити и Поклонной Горы.  На территории Москва-Сити есть вся необходимая инфраструктура: рестораны, магазины, кинотеатры, салоны красоты, а также есть выход к набережной и пешеходные зоны для прогулок.  Башня Федерация - сверхсовременный небоскреб в центре делового квартала Москва-Сити.  Проект, разработанный тандемом талантливых архитекторов мирового уровня Сергея Чобана и Питера Швегера.  Небоскреб представляет собой две разновысотные башни (95 и 60 этажей), объединенные 6-этажным стилобатом, пространство которого отведено под торговые помещения.  В небоскребе разместилось все то, что делает жизнь в современном мегаполисе насыщенной и интересной: торговая галерея и wellness-клуб Небо, первоклассные рестораны (среди которых всем известный ресторан Sixty), а также есть клубный этаж, кинотеатр, офисные помещения и комфортные жилые апартаменты.
Новые Черемушки	Москва, ЮЗАО, р-н Ломоносовский, м. Новые Черемушки, улица Академика Пилюгина, 22К1	3-комн. кв.	85	8	21	35500000	ЛОТ 31385. Предлагается квартира с прекрасным видом на Воронцовский парк , удобно спланирована: кухня-гостиная, две спальни, 2 с/у, гардеробная, лоджия. Выполнена отделка в современном стиле, с использованием качественных материалов. В стоимость входит машиноместо на подземной парковке.
Киевская	Москва, ЗАО, р-н Дорогомилово, м. Киевская, Кутузовский проспект, 5/3	3-комн. кв.	78	3	8	36000000	ЛОТ 51970 Предлагаем квартиру в качественном сталинском доме общей площадью 77.8 кв.м.Планировка: кухня-гостиная, две жилые спальни + с/у.Окна квартиры выходят на Украинский бульвар.В шаговой доступности метро Киевская, набережная Москвы-реки , Украинский бульвар (для прогулок с детьми), Белый Дом и ул. Новый Арбат.У дома самое удачное расположение на Кутузовском проспекте, которое позволяет избегать пробок в сторону Рублевки.Важно: у собственника есть квартира рядом, возможно объединение площадей!
Каховская	Москва, ЮЗАО, р-н Зюзино, м. Каховская, улица Каховка, 25	4-комн. кв.	149	9	16	36400000	ЛОТ 51922 Предлагаем 4-х комнатную квартиру на 9 этаже.Планировка: кухня-гостиная, 2 детские спальни, 1 взрослая + с/у, 1 гостевой с/у, гардеробная.Дом премиум-класса с огороженной, охраняемой территорией и подземным паркингом. Видеонаблюдение и консьержи в подъездах. Во дворе детская площадка. Район с развитой ифраструктурой, удобной транспортной доступностью, детские сады, школы, магазины.
Щукинская	Москва, СЗАО, р-н Щукино, м. Щукинская, Авиационная улица, 79В	3-комн. кв.	120	12	32	37000000	"В продажу предлагается 3-х комнатная квартира с ремонтом. Панорамный вид из ВСЕХ ОКОН на Строгинскую пойму и Москву-реку. Планировка: 2 спальни, просторная кухня-гостиная, отдельный кабинет. Большой санузел, постирочная. Полная стоимость в договоре. Есть машино-место на первом уровне подземного паркинга.   ЖК ""Алые Паруса"" построен непосредственно на берегу Москва-реки. Огороженная охраняемая территория. На территории: бассейн с аквапарком, спортивные залы, крытые теннисные корты, футбольное поле, детские площадки, прогулочные зоны, рестораны, супермаркет, причал для яхт и многое другое. Комплекс не имеет аналогов в столице!   Номер лота 69270"
Международная	Москва, ЦАО, р-н Пресненский, м. Международная, набережная Пресненская, 12	2-комн. кв.	80	72	95	36999999	ЛУЧШАЯ ЦЕНА ВО ВСЕМ КОМПЛЕКСЕ!  ОПЕРАТИВНЫЙ ПОКАЗ! ЗВОНИТЕ!  FOR ENGLISH PLEASE CALL OR WRITE TO WHATSAPP.  Прекрасные апартаменты общей площадью 80 м2.  Панорамные окна позволяют наслаждаться потрясающими видами набережной Москва-реки и небоскребов комплекса Москва-Сити и Поклонной Горы.  На территории Москва-Сити есть вся необходимая инфраструктура: рестораны, магазины, кинотеатры, салоны красоты, а также есть выход к набережной и пешеходные зоны для прогулок.  Башня Федерация - сверхсовременный небоскреб в центре делового квартала Москва-Сити. Проект, разработанный тандемом талантливых архитекторов мирового уровня Сергея Чобана и Питера Швегера.  Небоскреб представляет собой две разновысотные башни, объединенные 6-этажным стилобатом, пространство которого отведено под торговые помещения. В небоскребе разместилось все то, что делает жизнь в современном мегаполисе насыщенной и интересной: торговая галерея и wellness-клуб Небо, первоклассные рестораны (среди которых всем известный ресторан Sixty), а также есть клубный этаж, кинотеатр, офисные помещения и комфортные жилые апартаменты.
Проспект Вернадского	Москва, ЮЗАО, р-н Обручевский, м. Проспект Вернадского, Ленинский проспект, 103	3-комн. кв.	150	10	32	37000000	"Продается трехкомнатная квартира на 10 этаже 32-этажного монолитно-кирпичного дома. Общая площадь 150 кв.м. Два санузла, окна во двор, полы стяжка, 3 балкона, 1 лоджия. Имеется 2 пассажирских лифта и 1 грузовой лифт. Свободная продажа. Самая лучшая квартира в престижном секторе"" В""ЖК Эмеральд. Панорамный вид на достопримечательности данного района, дом бизнес класса, сдан в 2016 году! Квартира свободной планировки! Очень просторные лоджии в 16 метров.  Высота потолка 3.1м, Территория дома огорожена и охраняется. Собственность.Показ в любое время."
Раменки	Москва, ЗАО, р-н Раменки, м. Раменки, Мичуринский проспект, 26	3-комн. кв.	117	11	16	37950000	Продаю уютную 3-комнатную квартиру общей площадью 117 кв.м. в 4-х минутах пешком от метро Раменки. Лучшая средняя цена за м2 с ремонтом в доме бизнес-класса ЖК Мичуринский. Свежая отделка в стиле современной классики. Квартира расположена на 11 этаже 16 этажного корпуса на второй лини от Мичуринского проспекта (удаленность более 100 метров). Прямой доступ в поземный паркинг на лифте. Большая огороженная территория вокруг жилого комплекса с детскими и спортивными площадками. Круглосуточная охрана. Дом расположен в непосредственной близости от МГУ, МГИМО. Развитая инфраструктура района: практически во дворе дома элитная школа и два детских сада, в непосредственной близости поликлиника, супермаркеты, банки и пр. В квартире выполнена звукоизоляция стен и потолков от Акустик Групп. Бесшумные кондиционеры Mitsubishi Electric. В ремонте использованы дорогие отделочные материалы. Надежная система водоснабжения с защитой от протечек. В любых услугах по сопровождению процесса поиска покупателя и проведения сделки не нуждаемся. Бонус агенту по факту реальной сделки. Собственность оформлена
Улица 1905 года	Москва, ЦАО, р-н Пресненский, м. Улица 1905 года, улица Сергея Макеева, 9к2	Своб. планировка	95	6	17	38500000	"ЛОТ 52193 Предлагаем к продаже квартиру 94,5 м. свободной планировки. Высота потолков: 3.2 м. У собственника есть 1 м/м рядом с лифтом. Инфраструктура RedSide:  частный детский сад, медицинская клиника, фитнес-центр, кофейня, супермаркет ""Азбука вкуса"". Подземная парковка на 1900 автомобилей. Инфраструктура района: В шаговой доступности от жилого квартала расположены школы, детские сады и медицинские центры, торговые комплексы, кафе, рестораны, спортивные клубы, Парк Красная Пресня, Московский зоопарк и Планетарий. Рядом третье транспортное кольцо и МКАД, Новорижское,  Рублево-Успенское и Звенигородское шоссе, а также Деловой центр Москва-Сити."
Славянский бульвар	Москва, ЗАО, р-н Очаково-Матвеевское, м. Славянский бульвар, Нежинская улица, 1к3	2-комн. кв.	81	6	31	39700000	"Жилой комплекс ""Кутузовская ривьера""!!! Предлагается Роскошная квартира - евро двушка 81 м2 !!! Выполнен Дизайнерский дорогой ремонт, с использованием  дорогих материалов,  (пол квартиры и ванной отделан мрамором, двери, ванная и сантехника - из италии). Планировка: кухня- гостиная- 40 м2, изолированная спальная- 13,7 м2, санузел совмещенный- 8 м2 стеклянной перегородкой. Вид из окон на лес и внутренний двор. Комплекс удачно расположен внутри большого зеленого клина, создаваемого с одной стороны Волынским лесом, а с другой природным заказником ""Долина реки Сетунь"", в одном из самых экологически благополучных районов мегаполиса. В жилом комплексе удалось не только сохранить исконно-живописный уголок природы на придомовой территории, но и дополнить его. Искусственная речка, с каскадом водопадов и изящными мостиками, фонтаны, многообразие озеленительных приемов, современный дизайн малых архитектурных форм и мощение дорожек - все это гармонично сочетается с природным ландшафтом. Огороженная благоустроенная территория, круглосуточная охрана и видеонаблюдение, игровые и спортивные площадки, современный паркинг. На территории ЖК есть , уютное кафе, салоны красоты, фитнес, автомойка. ЖК находится в престижном районе города Москвы, округ имеет хорошую экологическую оценку и развитую инфраструктуру."
Новослободская	Москва, ЦАО, р-н Тверской, м. Новослободская, 1-я Миусская улица, 2С1	3-комн. кв.	107	4	12	39900000	Лот 51967. Трёхкомнатная квартира в отличном статусном доме ЦК, 4-этаж 12-этажного кирпичного дома 1996 г. постройки, возведен по индивидуальному проекту. Привилегированные соседи, отличное окружение. Огороженный, охраняемый, зеленый ухоженный двор, видеонаблюдение, консьерж. Площадь квартиры 106.6 кв.м. (20.8+17.5+14.1 кв.м.). Большой холл в квартире 14.5 кв.м. + прихожая 12 кв.м. Комнаты изолированные, выходят на разные стороны. Окна большие - деревянные, двойные, пол - дубовый паркет + плитка, потолки высокие 2.90 кв.м. Кухня 12.3 кв.м., встроенная кухонная мебель со всей бытовой техникой. Есть дополнительные подсобные помещения, кладовые. Большая ванная комната. Гостевой санузел. Застеклённая лоджия. Во дворе организованы парковочные места для жильцов (как бонус - бесплатное резидентное парковочное разрешение с 20.00 до 8.00). Четыре лифта, огромная входная группа. Во дворе находится оборудованная детская площадка, спортивный комплекс, клиника Семейный доктор и стоматология. До метро Менделеевская или Новослободская 3-5 мин пешком. В шаговой доступности расположен Миусский сквер, лицей, детский сад, сеть магазинов, торговый центр. В квартире возможна перепланировка.
Щукинская	Москва, СЗАО, р-н Щукино, м. Щукинская, Авиационная улица, 79К1	4-комн. кв.	126	40	49	39900000	"Эксклюзив. В продажу предлагается уникальная, САМАЯ ВИДОВАЯ 4-х комнатная квартира с качественным ремонтом в современном стиле в светлых тонах. Заезжай и живи! Функциональная планировка предусматривает: просторная кухня-гостиная, три спальни, два санузла, просторная гардеробная. Из окон открываются фантастические виды!  ЖК ""Алые Паруса"" построен непосредственно на берегу Москва-реки. Огороженная охраняемая территория. На территории: бассейн с аквапарком, спортивные залы, крытые теннисные корты, футбольное поле, детские площадки, прогулочные зоны, рестораны, супермаркет, причал для яхт и многое другое. Комплекс не имеет аналогов в столице!  Полная стоимость в договоре. Есть машиноместо на 1 уровне подзенмного паркинга.    Номер лота 67672"
Тверская	Москва, ЦАО, р-н Пресненский, м. Тверская, Спиридоньевский переулок, 2/22	3-комн. кв.	90	3	12	40000000	Свежая квартира с дизайнерским ремонтом. 2 спальни, просторная кухня-гостиная, 2 с/у, гардеробная, постирочная. Все новая-коммуникации, электрика, вентиляция по всей квартире. Мебель италия, сантехника Villeroy, паркет. Документы готовы к сделке, 1 продавец, возможна ипотека.
Проспект Мира	Москва, ЦАО, р-н Мещанский, м. Проспект Мира, Протопоповский переулок, 16	3-комн. кв.	103	14	14	40000000	Продается трех комнатная квартира с новым ремонтом и отличной планировкой. Две спальни, большая гостиная, светлая кухня с новой техникой.   Номер лота 69762
Таганская	Москва, ЦАО, р-н Таганский, м. Таганская, Котельническая набережная, 1/15	2-комн. кв.	71	7	26	41921100	"Лот: 32199 ПРЕКРАСНОЕ ПРЕДЛОЖЕНИЕ в Жилом доме на ""Котельнической набережной"" в Москве - одном из самых красивейших и ""высотных зданий"". Двухкомнатная квартира удобно спланирована: кухня, гостиная, спальня с французским балконом , санузел, просторный холл. Из окна кухни открываются вид на величественный главный корпус, окна гостиной устремлены на исторический центр Москвы, из спальни вид на Москву-реку. В квартире тихо. Инфраструктура дома: магазины, почтовое отделение, кафе, салоны красоты, кинотеатр ""Иллюзион"", музей-квартира Галины Улановой."
Парк Победы	Москва, ЗАО, р-н Раменки, м. Парк Победы, Минская улица, 1ГК3	3-комн. кв.	150	6	22	42000000	ЛОТ 24509 Д ОФИС ПРОДАЖ ЖК ЗОЛОТЫЕ КЛЮЧИ 2. АГЕНТАМ НЕ БЕСПОКОИТЬ. ПРЕДЛОЖЕНИЕ НАПРЯМУЮ ОТ СОБСТВЕННИКА.  Продажа 3-комнатной квартиры площадью 150 кв.м. Метро Университет, 5 минут на авто. Улица Минская дом 1Гк3. ЖК Золотые Ключи 2. Квартира полностью меблирована и укомплектована всей необходимой бытовой техникой от ведущих мировых производителей. В квартире выполнен ремонт в стиле современная классика, в светлых тонах. Окна квартиры выходят на две стороны: во двор и на лесопарк. Планировка: кухня, гостиная, 2 спальни, 2 санузла, 2 лоджии, гардеробная.  ЖК Золотые ключи-2 жилой комплекс премиум-класса. Расположен в природоохранной зоне заказника Долина реки Сетунь. Комплекс состоит из 3 корпусов переменной этажности от 14 до 22. 112 квартир площадью от 60 до 500 кв.м и высотой потолков 3,5 м. Фасады монолитных зданий облицованы кирпичом красочных оттенков. Элементы витражного остекления придают высотным конструкциям визуальную легкость. Панорамные виды, открывающиеся из окон на парк Победы, Поклонную гору, Университет и другие достопримечательности Москвы. Изысканный ландшафтный дизайн придомовой территории комплекса, каскад из двух декоративных прудов и источник с родниковой водой. Подземный 2-уровневый паркинг на 1000 машиномест и гостевые автостоянки. Огороженная территория, контроль и управление доступом на территорию, видеонаблюдение. Спортивный комплекс, бассейн, фитнес-центр, спа-салон, салон красоты. Английская Академия и Британский детский сад, собственный зоопарк для детей, теннисный корт, футбольное поле, лавочки и беседки для барбекю, магазины, кафе, ресторан, аптека, банк, медицинские учреждения, детский клуб, химчистка, автомойка.
Киевская	Москва, ЗАО, р-н Дорогомилово, м. Киевская, Кутузовский проспект, 5/3	3-комн. кв.	85	5	8	42000000	г. Москва. Кутузовский проспект, дом 5/3. Предлагается к продаже в современном дизайне комфортабельная 3х комнатная квартира 85кв.м. на 5ом этаже 8ми этажного  сталинского дома.  Вся отделка новая, выполнена в стиле современной классики. Чистовые материалы все импортные, на заказ. Кухня, встроенная мебель, шторы, все итальянского производства. Встроенная мебель под заказ, выполнена  по эскизам собственника. Установлены кондиционеры. Функциональная, продуманная планировка: большой холл с очень удобными шкафами для скрытого хранения, спальня гостевая(либо детская), гостиная с лоджией, кухня, хозяйская спальня, с/узел отдельный и ванная комната. Окна квартиры выходят  на гостиницу Украина, Дом Правительства и внутренний двор, который огорожен, и въезд во двор осуществляется через шлагбаум. Дом расположен в пешей доступности от набережной Москвы-реки и ул. Новый Арбат. Все показы по предварительной договоренности.
Минская	Москва, ЗАО, р-н Раменки, м. Минская, Мосфильмовская улица, 70к1	4-комн. кв.	146	31	42	42000000	В продажу предлагается ВИДОВАЯ просторная 4х комнатная квартира с ремонтом. Планировка: просторная кухня-гостиная, три отдельных спальни, 2 санузла, гардеробные.  ЖК &laquo;Воробьевы горы&raquo; расположен на самой высокой точке Столицы. На огороженной строго охраняемой территории есть все необходимое для комфортной жизни: детские и спортивные площадки, фитнесс клуб с бассейном, салоны красоты, мини-маркет, службы быта. Многоуровневый подземный паркинг. Рядом огромная парковая зона. Удобная транспортная доступность.  Свободная продажа. Полная стоимость в договоре.   Номер лота 69405
Краснопресненская	Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Новинский бульвар, 25к1	4-комн. кв.	94	2	7	65450000	
	Москва, ЦАО, р-н Хамовники, Садовые Кварталы ЖК	4-комн. кв.	178	2	14	72746750	
Калужская	Москва, ЮЗАО, р-н Обручевский, м. Калужская, Ленинский проспект, 105	3-комн. кв.	122	2	20	28301774	
Киевская	Москва, ЗАО, р-н Раменки, м. Киевская, Мосфильмовская улица, 70к2	4-комн. кв.	145	7	47	42300000	"Лучшая цена в комплексе! В продажу предлагается 4-х комнатная квартира в ЖК ""Воробьевы Горы"". Планировка предусматривает: просторная кухня гостиная, 3 спальни, 2 санузла, постирочная, 2 гардеробных. Более 3-х лет в собственности, подходит под ипотеку!  ЖК ""Воробьевы Горы"" расположен на самой высокой точке Столицы. На огороженной строго охраняемой территории есть все необходимое для комфортной жизни: детские и спортивные площадки, фитнесс клуб с бассейном, салоны красоты, мини-маркет, службы быта. Многоуровневый подземный паркинг. Рядом огромная парковая зона. Удобная транспортная доступность.   Номер лота 69415"
Ломоносовский проспект	Москва, ЗАО, р-н Раменки, м. Ломоносовский проспект, Мичуринский проспект, 3	3-комн. кв.	100	15	15	44500000	"ID: 65088  ЖК ""Шуваловский"". На продажу предлагается светлая 3х комнатная квартира общей площадью 100 кв.м с дизайнерским ремонтом в современном классическом стиле. Планировка квартиры включает: изолированная кухня, просторная гостиная, 2 изолированные спальни (одна из которых детская), 2 с/у. Очень тихо. Все окна выходят во внутренний двор, что создаёт превосходный вид на зелёную аллею комплекса. В квартире практически не жили. Кухня укомплектована всей необходимой бытовой техникой марки Miele. Встроенная итальянская мебель, индивидуальная система вентиляции и кондиционирования, насыщенное освещение по всей квартире. Квартира в собственности больше трех лет, свободная продажа, перепланировок нет. ЖК Шуваловский расположен в одном из самых зеленых и респектабельных районов столицы Воробьевы горы, рядом с Ботаническим садом и недалеко от МГУ. Охраняемая огороженная территория, каждый корпус комплекса огорожен и охраняется, дворы без машин, подземный паркинг. В пешей доступности станция метро ""Ломоносовский проспект"", что позволяет Вам оказаться прямо в сердце Столицы всего за 10 минут. Состоит из 7 зданий разной этажности, выдержанных в едином стиле с Университетом. Шуваловский возведен в соответствии со всеми современными достижениями в области строительства, оснащен новейшими инженерными и телекоммуникационными системами."
